artist_name,genres
Mariah Carey,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
Faber Drive,['pop punk']
Nico & Vinz,"['dance pop', 'pop rap']"
Zee Avi,"['folk-pop', 'malaysian indie', 'malaysian pop']"
Mike Posner,"['dance pop', 'edm', 'pop', 'pop rap']"
Beyoncé,"['dance pop', 'pop', 'post-teen pop', 'r&b']"
LIEZA
Maren Morris,['contemporary country']
Madilyn Paige,"['channel pop', 'viral pop']"
DNCE,"['dance pop', 'pop', 'post-teen pop']"
AJR,"['modern rock', 'pop']"
John Mayer,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']","['blues-rock', 'modern blues']"
O-Town,"['boy band', 'dance pop']"
Macklemore,['pop rap'],"['dance pop', 'pop rap']"
Take That,"['boy band', 'dance pop', 'europop', 'pop']"
Josh Daniel
K'NAAN
HIRAIDAI
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
Lord Huron,"['folk-pop', 'indie folk', 'indie pop', 'new americana', 'stomp and holler']"
Kelly Clarkson,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'r&b', 'talent show']"
Alok,['electro house']
Gotye,"['australian alternative rock', 'australian pop']"
Jonas Blue,"['dance pop', 'edm', 'pop', 'tropical house']"
Kurt Hugo Schneider,"['australian pop', 'channel pop', 'post-teen pop', 'viral pop']"
We The Kings,"['emo', 'neo mellow', 'piano rock', 'pop emo', 'pop punk', 'pop rock', 'post-teen pop']"
Meghan Trainor,"['dance pop', 'hip pop', 'pop', 'post-teen pop']"
Mr.Siro,['vietnamese pop']
Skrillex,"['brostep', 'complextro', 'edm', 'electro']"
CHEN,"['k-pop', 'korean pop']","['channel pop', 'post-teen pop', 'viral pop']","['c-pop', 'cantopop', 'classic cantopop']",['mandopop'],"['chinese hip hop', 'mandopop']",['violin']
Alicia Keys,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
Riverdale Cast,"['pop', 'post-teen pop']"
Eagles,"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']","['alternative rock', 'blues-rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'stoner rock']","['deep melodic euro house', 'tech house']","['chamber pop', 'freak folk', 'neo-psychedelic', 'new weird america']",['college marching band']
Grace Grundy,"['pop', 'post-teen pop', 'viral pop']"
Andi Mack
Mike Perry,"['dance pop', 'deep pop edm', 'deep tropical house', 'edm', 'pop', 'tropical house']"
Shakira,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']"
Anne-Marie,"['dance pop', 'pop', 'post-teen pop', 'tropical house']",['barnemusikk']
Christina Perri,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'viral pop']"
Post Malone,"['pop', 'rap']"
Jake Scott,"['acoustic pop', 'indiecoustica', 'neo mellow']"
Martin Garrix,"['big room', 'edm', 'pop', 'progressive house', 'tropical house']"
G-DRAGON,"['k-hop', 'k-pop', 'korean pop']"
Enrique Iglesias,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'pop quebecois', 'tropical']"
Demi Lovato,"['dance pop', 'pop', 'post-teen pop', 'r&b']",['fake']
Mad Clown,"['k-hop', 'korean pop']"
Alan Jackson,"['contemporary country', 'country', 'country road']"
The Chainsmokers,"['edm', 'electropop', 'pop', 'tropical house']"
Big Time Rush,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'teen pop', 'viral pop']"
Olly Murs,"['dance pop', 'europop', 'neo mellow', 'pop', 'post-teen pop', 'talent show']"
Future Sunsets
Clean Bandit,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk funky']"
Vice,"['chicano rap', 'pop']","['anthem worship', 'christian uplift']"
Spencer Kane
Keywest
Snoop Dogg,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
ZAYN,"['dance pop', 'electropop', 'pop', 'post-teen pop']"
K.Will,"['k-indie', 'k-pop', 'korean pop']"
Alec Benjamin,"['dance pop', 'pop']"
Johann Pachelbel,"['baroque', 'classical', 'german baroque']"
Us The Duo,"['indiecoustica', 'neo mellow', 'viral pop']"
gnash,"['dance pop', 'pop', 'post-teen pop']"
Digital Farm Animals,"['house', 'tropical house']"
Twenty One Pilots,"['pop punk', 'rock']"
Ed Sheeran,['pop']
JustaTee,"['vietnamese hip hop', 'vietnamese pop']"
Shawn Hook,['canadian pop']
2NE1,"['dance pop', 'k-pop']"
Evanescence,"['alternative metal', 'post-grunge']"
Jason Derulo,"['dance pop', 'pinoy hip hop', 'pop', 'pop rap', 'post-teen pop', 'r&b']"
The Piano Guys,"['bow pop', 'classify']"
Jung Yong Hwa,"['k-pop', 'korean pop']"
Bastille,"['metropopolis', 'modern rock', 'pop']"
Queen,"['glam rock', 'rock']","['deep pop r&b', 'pop', 'r&b']","['hip pop', 'lgbtq+ hip hop']","['conscious hip hop', 'east coast hip hop', 'hip hop', 'hollywood']","['britpop', 'garage rock', 'modern alternative rock']",['j-rock']
Simple Plan,"['canadian punk', 'canadian rock', 'pop punk', 'pop rock', 'post-grunge']"
Uncle Kracker,"['contemporary country', 'country', 'country road', 'pop rock', 'post-grunge']"
Jacob Restituto
James TW,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']"
Boyzone,"['australian pop', 'boy band', 'dance pop', 'europop', 'pop rock']"
Adam Lambert,"['australian pop', 'dance pop', 'idol', 'pop', 'post-teen pop']"
Frank Sinatra,"['adult standards', 'christmas', 'easy listening', 'lounge']",['adult standards']
Bazzi,"['dance pop', 'pop', 'post-teen pop']"
Sabrina Carpenter,"['dance pop', 'pop', 'post-teen pop', 'viral pop']"
Mikkel S. Eriksen
Westlife,"['boy band', 'dance pop', 'europop']"
Jasmine Thompson,"['neo mellow', 'pop', 'viral pop']"
Noah Young,"['christian hip hop', 'christian trap']"
Lukas Graham,['danish pop']
Dr. Dre,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
Jessie J,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b']"
Tim McMorris
Martin Jensen,"['dance pop', 'deep tropical house', 'edm', 'pop', 'tropical house']"
James Bay,"['neo mellow', 'pop']"
Lawson,"['compositional ambient', 'focus', 'new age piano']",['indie anthem-folk'],['post-teen pop'],['hard house']
Rima Zeidan
Travie McCoy,['pop rap']
Fernando Daniel,['portuguese pop']
Little Mix,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'r&b', 'talent show']"
Sia,"['australian dance', 'australian pop', 'dance pop', 'pop']",['glitch hop']
James Arthur,"['dance pop', 'pop', 'post-teen pop', 'talent show']"
G-Eazy,"['hip hop', 'indie pop rap', 'pop', 'pop rap', 'rap']"
Sidewalk Prophets,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']"
Maggie Lindemann,"['dance pop', 'pop', 'post-teen pop']"
San Holo,"['bass trap', 'edm', 'electronic trap', 'pop', 'tropical house']"
Olivia Holt,"['dance pop', 'pop', 'post-teen pop', 'teen pop', 'viral pop']"
Ashley Tisdale,"['dance pop', 'pop', 'post-teen pop', 'viral pop']"
Kygo,"['edm', 'pop', 'tropical house']"
Christopher,"['channel pop', 'viral pop']",['danish pop'],['deep soundtrack'],"['indie pop rap', 'pop rap']","['adult standards', 'album rock', 'disco', 'folk rock', 'mellow gold', 'new wave pop', 'quiet storm', 'soft rock']",['focus'],"['ambient', 'compositional ambient', 'drift', 'drone', 'warm drone']",['hollywood'],"['classical performance', 'historically informed performance', 'orchestral performance']"
Skylar Grey,['piano rock']
XIA,"['mainland chinese pop', 'mandopop']"
Straalen
Hailee Steinfeld,"['dance pop', 'pop', 'post-teen pop']"
Alex Aiono,"['post-teen pop', 'teen pop']"
Chris Brown,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
Lauv,"['dance pop', 'electropop', 'pop', 'post-teen pop']"
Sam Smith,"['pop', 'post-teen pop']"
John Adams,"['american contemporary classical', 'avant-garde', 'choral', 'classical', 'compositional ambient', 'contemporary classical', 'minimal']","['american 21st century classical', 'avant-garde', 'contemporary classical']"
Macklemore & Ryan Lewis,"['dance pop', 'pop rap']"
Lana Del Rey,"['dance pop', 'pop']"
Trevin Hunte,['deep talent show']
David Bowie,"['art rock', 'dance rock', 'glam rock', 'new wave', 'permanent wave', 'protopunk', 'rock']",['karaoke']
Duffy,"['dance pop', 'folk-pop', 'neo soul', 'pop', 'pop rock', 'r&b']","['dance rock', 'new romantic', 'new wave', 'new wave pop']"
David Archuleta,"['dance pop', 'idol', 'neo mellow', 'post-teen pop', 'viral pop']"
OneRepublic,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop quebecois', 'pop rap', 'pop rock']"
A Great Big World,"['neo mellow', 'piano rock', 'pop rock']"
Shayne Ward,"['europop', 'talent show']"
Jona,['opm'],['german pop'],['opm'],"['bachata', 'colombian pop']"
Zac Efron,"['hollywood', 'post-teen pop']"
P!nk,"['dance pop', 'pop', 'post-teen pop']"
Young Thug,"['gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'trap music']"
Machine Gun Kelly,"['hip hop', 'pop rap', 'rap']"
MAGIC!,"['pop', 'reggae fusion']","['afropop', 'francoton', 'french pop', 'zouglou']","['indie poptimism', 'indie rockism', 'modern rock']","['indie pop', 'indie poptimism', 'indie rockism', 'indietronica', 'modern rock', 'shimmer pop']","['chillwave', 'edm', 'gauze pop', 'indie dream pop', 'indie r&b', 'indietronica', 'vapor soul', 'vapor twitch']","['electro', 'j-dance', 'japanese city pop', 'shibuya-kei', 'zolo']"
Birdy,"['dance pop', 'neo mellow', 'pop']","['electro house', 'filter house', 'turntablism']","['australian alternative rock', 'perth indie']"
Dua Lipa,"['dance pop', 'pop', 'post-teen pop']"
T.I.,"['dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']","['dirty south rap', 'southern hip hop']"
Alex Goot,"['channel pop', 'post-teen pop', 'viral pop']"
CNBLUE,"['k-pop', 'korean pop']"
Aaron Carter,"['dance pop', 'post-teen pop']"
Rudimental,"['dance pop', 'edm', 'liquid funk', 'pop', 'tropical house', 'uk funky']"
One Direction,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']"
JP Cooper,"['dance pop', 'neo mellow', 'pop', 'r&b', 'tropical house']"
Bad Meets Evil,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
Alan Walker,"['edm', 'tropical house']"
American Authors,"['brooklyn indie', 'indie poptimism', 'modern alternative rock', 'modern rock', 'neo mellow', 'pop', 'pop rock']"
Basil Jose
911,"['boy band', 'bubblegum dance', 'dance pop', 'europop']",['go-go']
Conrad Sewell,['australian pop']
The Wanted,"['boy band', 'dance pop', 'pop', 'post-teen pop']",['modern southern rock']
Bassnectar,"['bass trap', 'breakbeat', 'brostep', 'edm', 'electro house', 'electronic trap', 'glitch hop']"
DVBBS,"['big room', 'dance pop', 'deep big room', 'edm', 'electro house', 'pop', 'progressive electro house', 'tropical house']"
Hannah Montana,"['dance pop', 'hollywood', 'pop', 'post-teen pop']"
My Tam,['vietnamese pop']
Hozier,"['folk-pop', 'irish singer-songwriter', 'pop']"
Kenneth August
The Script,"['celtic rock', 'neo mellow', 'pop', 'pop rap', 'pop rock', 'post-teen pop']"
Jon Liddell,['malaysian indie']
Cody Simpson,"['australian pop', 'dance pop', 'pop', 'post-teen pop', 'teen pop', 'viral pop']"
BBMak,"['boy band', 'dance pop']"
Artists for Haiti,['canadian pop']
Michael Bublé,"['adult standards', 'canadian pop', 'lounge', 'neo mellow']",['karaoke']
Justin Timberlake,"['dance pop', 'pop']"
Marshmello,"['brostep', 'edm', 'egyptian pop', 'pop', 'progressive electro house']"
Tyler Ward,"['channel pop', 'classify', 'neo mellow', 'post-teen pop', 'viral pop']"
Jonah Baker,['channel pop']
Pharrell Williams,"['dance pop', 'pop', 'pop rap']"
Prince Royce,"['bachata', 'dance pop', 'latin', 'latin pop', 'pop', 'tropical']"
Charice,"['post-teen pop', 'viral pop']"
Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
Bebe Rexha,"['dance pop', 'pop', 'post-teen pop']"
Luis Fonsi,"['dance pop', 'latin', 'latin pop']"
Liam Payne,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house']"
Gavin James,"['neo mellow', 'pop', 'viral pop']"
Rixton,"['australian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']"
Maruli Tampubolon,['indonesian jazz']
Yoon Mirae,"['k-hop', 'k-indie', 'k-pop', 'korean pop', 'korean r&b']"
Logic,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']","['antiviral pop', 'deep chiptune']","['abstract hip hop', 'underground rap']","['alternative metal', 'groove metal', 'industrial metal', 'melodic metalcore', 'nu metal', 'rap rock']"
Bằng Kiều,['vietnamese pop']
Charlie Puth,"['dance pop', 'pop', 'post-teen pop', 'viral pop']"
Hearts & Colors,"['post-teen pop', 'viral pop']"
BoA,"['dance pop', 'j-idol', 'j-pop', 'japanese r&b', 'k-pop', 'korean pop']",['tecnobrega'],['k-pop'],['new beat']
Michael Jackson,['pop']
Snakehips,"['dance pop', 'edm', 'electropop', 'indie r&b', 'pop', 'post-teen pop', 'tropical house']"
Flo Rida,"['dance pop', 'edm', 'pop', 'pop rap']"
Pitbull,"['dance pop', 'latin', 'pop', 'pop rap']"
FTISLAND,"['k-indie', 'k-pop', 'k-rock', 'korean pop']"
Zara Larsson,"['dance pop', 'edm', 'electropop', 'pop', 'post-teen pop', 'r&b', 'swedish electropop', 'swedish pop', 'tropical house']"
J Balvin,"['latin', 'reggaeton']"
David Guetta,"['dance pop', 'edm', 'pop']"
Anna Kendrick,['hollywood']
Mandy Moore,"['dance pop', 'hollywood', 'movie tunes', 'neo mellow', 'post-teen pop']"
Jesse McCartney,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'r&b', 'viral pop']"
Anh Khang,['vietnamese pop']
The Mamas & The Papas,"['brill building pop', 'bubblegum pop', 'christmas', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'rock-and-roll', 'soft rock']"
Emblem3,"['post-teen pop', 'talent show', 'teen pop']"
French Montana,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
Endah N Rhesa,"['indonesian indie', 'indonesian pop']"
KYLE,"['hip hop', 'pop', 'pop rap', 'rap']","['otacore', 'scorecore']","['emo rap', 'indie pop rap', 'pop']",['soundtrack'],"['opm', 'pinoy indie']"
Daft Punk,"['electro', 'electronic', 'filter house']"
